기업명,error
에스엠마트치평점,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
농협은행(주)도곡동지점,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
팀모바일,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
가온시스템즈,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
창원장학재단,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
래빗앤린맘,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
한국녹색철도태양광발전,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
건화물류,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
협심이엔지,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
팜머치,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff724c1fe75+79173]
	GetHandleVerifier [0x0x7ff724c1fed0+79264]
	(No symbol) [0x0x7ff7249d9e5a]
	(No symbol) [0x0x7ff724a30586]
	(No symbol) [0x0x7ff724a3083c]
	(No symbol) [0x0x7ff724a84247]
	(No symbol) [0x0x7ff724a589af]
	(No symbol) [0x0x7ff724a8100d]
	(No symbol) [0x0x7ff724a58743]
	(No symbol) [0x0x7ff724a214c1]
	(No symbol) [0x0x7ff724a22253]
	GetHandleVerifier [0x0x7ff724eea2ad+3004797]
	GetHandleVerifier [0x0x7ff724ee46fd+2981325]
	GetHandleVerifier [0x0x7ff724f03350+3107360]
	GetHandleVerifier [0x0x7ff724c3a9fe+188622]
	GetHandleVerifier [0x0x7ff724c4228f+219487]
	GetHandleVerifier [0x0x7ff724c28dc4+115860]
	GetHandleVerifier [0x0x7ff724c28f79+116297]
	GetHandleVerifier [0x0x7ff724c0f528+11256]
	BaseThreadInitThunk [0x0x7fff6232e8d7+23]
	RtlUserThreadStart [0x0x7fff641dc34c+44]
"
